velocitys,velocity_api,altitude,latitude,longitude,time_utc
26742.044409993767,27595,418,27.183,-123.4752,17/10/2021 23:14:46
26714.36635418387,27593,417,21.3029,-117.991,17/10/2021 23:16:48
26471.351928709762,27591,417,15.3516,-113.0764,17/10/2021 23:18:50
26457.629719004297,27587,418,9.2529,-108.4495,17/10/2021 23:20:52
26665.741304952397,27583,419,3.085,-104.0007,17/10/2021 23:22:56
26660.113238545073,27577,420,-3.2046,-99.5394,17/10/2021 23:24:58
26663.94426605987,27572,422,-9.3672,-95.0919,17/10/2021 23:27:00
26669.684067719558,27565,424,-15.4313,-90.487,17/10/2021 23:29:02
26469.453259181297,27559,427,-21.3939,-85.5569,17/10/2021 23:31:04
26699.992305468695,27552,429,-27.1407,-80.1958,17/10/2021 23:33:05
26496.819637074987,27546,432,-32.5923,-74.2422,17/10/2021 23:35:07
26734.429575607137,27540,434,-37.6896,-67.4533,17/10/2021 23:37:09
26755.46853871204,27535,436,-42.2714,-59.6475,17/10/2021 23:39:10
26549.203892429752,27530,438,-46.1474,-50.6878,17/10/2021 23:41:12
26780.51532383119,27527,439,-49.1422,-40.4318,17/10/2021 23:43:13
26565.74129935147,27525,440,-51.0176,-29.1198,17/10/2021 23:45:16
26567.487831926213,27524,440,-51.6212,-17.0144,17/10/2021 23:47:17
26786.028436575947,27524,440,-50.8723,-5.0492,17/10/2021 23:49:20
26777.950858199565,27526,439,-48.8456,6.2471,17/10/2021 23:51:21
26541.22543637747,27528,438,-45.7501,16.3165,17/10/2021 23:53:22
26744.89287000904,27532,436,-41.7706,25.1664,17/10/2021 23:55:24
26723.517466996615,27536,434,-37.1235,32.8396,17/10/2021 23:57:25
27586.465462659,27541,432,-31.8916,39.6225,17/10/2021 23:59:29
26396.455547196558,27546,430,-26.4078,45.4707,18/10/2021 00:01:31
26665.901509630792,27552,427,-20.637,50.7597,18/10/2021 00:03:32
26651.50144935006,27557,425,-14.6851,55.6187,18/10/2021 00:05:34
26867.516339703503,27563,424,-8.5385,60.2464,18/10/2021 00:07:37
26644.13166635151,27568,422,-2.4002,64.6573,18/10/2021 00:09:39
26656.10349531225,27572,422,3.7582,69.0259,18/10/2021 00:11:40
26883.485414451854,27576,421,9.9159,73.484,18/10/2021 00:13:43
26680.17625821136,27579,421,15.9748,78.1141,18/10/2021 00:15:44
26479.996681404,27582,421,21.8815,83.043,18/10/2021 00:17:46
26724.605733566597,27585,421,27.6187,88.4599,18/10/2021 00:19:47
26535.35259259284,27586,422,33.0563,94.4925,18/10/2021 00:21:49
26779.8981068665,27588,422,38.1293,101.387,18/10/2021 00:23:50
26583.999413475743,27589,423,42.6534,109.2913,18/10/2021 00:25:52
26825.57514813789,27591,423,46.485,118.4453,18/10/2021 00:27:53
26842.520009239142,27592,423,49.3897,128.8715,18/10/2021 00:29:55
26636.824354765024,27593,423,51.1458,140.3347,18/10/2021 00:31:56
26857.404081040542,27594,423,51.6052,152.4326,18/10/2021 00:33:58
27078.214270162316,27595,423,50.7048,164.46,18/10/2021 00:36:00
