velocitys,altitude,latitude,longitude,time_utc
7354.234023619249,429,-27.0359,-133.3418,17/10/2021 03:25:07
7421.112662896295,432,-32.5148,-127.3757,17/10/2021 03:27:08
7364.638955011429,434,-37.598,-120.6305,17/10/2021 03:29:10
7431.427939941083,436,-42.1905,-112.8464,17/10/2021 03:31:11
7435.433041563598,438,-46.0957,-103.8707,17/10/2021 03:33:13
7377.2979091439,439,-49.0948,-93.6783,17/10/2021 03:35:14
7441.050896403801,440,-50.9984,-82.3352,17/10/2021 03:37:16
7379.092218104419,440,-51.6224,-70.3852,17/10/2021 03:39:17
7441.474053716698,440,-50.9097,-58.4092,17/10/2021 03:41:18
7376.528342567351,439,-48.9365,-47.1746,17/10/2021 03:43:20
7432.678803615682,437,-45.8324,-36.9451,17/10/2021 03:45:23
7427.900370902835,435,-41.8707,-28.0662,17/10/2021 03:47:24
7360.7378304549975,433,-37.2572,-20.3974,17/10/2021 03:49:26
7417.340571215064,431,-32.1246,-13.6925,17/10/2021 03:51:27
7349.988359779538,429,-26.6491,-7.8044,17/10/2021 03:53:29
7406.640563822883,427,-20.8882,-2.494,17/10/2021 03:55:30
7341.948464371031,425,-14.9676,2.3607,17/10/2021 03:57:32
7400.574886999866,423,-8.9013,6.9435,17/10/2021 03:59:33
7340.996727025894,422,-2.7904,11.3428,17/10/2021 04:01:35
7402.396360618165,421,3.3681,15.7107,17/10/2021 04:03:36
7342.95955593378,420,9.4779,20.1234,17/10/2021 04:05:37
7409.753209495805,420,15.5439,24.7357,17/10/2021 04:07:39
7476.539630133284,420,21.5097,29.6791,17/10/2021 04:09:41
7423.834659984084,421,27.2619,35.0617,17/10/2021 04:11:43
7368.787333802023,421,32.7199,41.048,17/10/2021 04:13:44
7376.569518317541,422,37.8213,47.8829,17/10/2021 04:15:46
7444.694907586087,422,42.4018,55.7507,17/10/2021 04:17:47
7390.275283934858,423,46.2673,64.7895,17/10/2021 04:19:49
7458.887698602592,423,49.2379,75.1399,17/10/2021 04:21:50
7397.74195098084,423,51.0716,86.5456,17/10/2021 04:23:52
7460.8021400551925,423,51.6164,98.6267,17/10/2021 04:25:53
7398.869432847874,423,50.8126,110.5875,17/10/2021 04:27:56
7457.788242406713,422,48.7122,121.9426,17/10/2021 04:29:57
7455.211810729926,421,45.5345,132.0373,17/10/2021 04:31:59
7386.526572523066,420,41.5069,140.8209,17/10/2021 04:34:01
7441.221179676672,419,36.7619,148.5212,17/10/2021 04:36:03
7373.243840072714,419,31.5872,155.1393,17/10/2021 04:38:04
7979.0473937562065,418,25.826,161.2085,17/10/2021 04:40:10
7421.240513014986,418,20.0144,166.4638,17/10/2021 04:42:12
7353.903711368107,418,14.0561,171.2803,17/10/2021 04:44:13
7656.41450304165,419,7.8625,175.914,17/10/2021 04:46:17
7408.26858259678,420,1.7117,-179.6791,17/10/2021 04:48:19
7650.833041529352,421,-4.5762,-175.2149,17/10/2021 04:50:23
7408.612649198533,424,-10.7017,-170.7573,17/10/2021 04:53:04
7348.645564596972,426,-18.6308,-164.5583,17/10/2021 04:55:06
7413.7875296109705,428,-24.4987,-159.4066,17/10/2021 04:57:07
7357.669787162108,431,-30.0875,-153.7624,17/10/2021 04:59:09
7977.725872601974,433,-35.5635,-147.123,17/10/2021 05:01:15
7368.035983021351,435,-40.3665,-139.8088,17/10/2021 05:03:17
7556.3165870433295,437,-44.6736,-131.1181,17/10/2021 05:05:21
7438.42780921544,439,-48.0569,-121.3678,17/10/2021 05:07:22
7378.953631906882,440,-50.4036,-110.4622,17/10/2021 05:09:24
7441.8847695887325,440,-51.5389,-98.6435,17/10/2021 05:11:25
7379.549845375182,440,-51.344,-86.6211,17/10/2021 05:13:27
7438.769795656973,439,-49.8374,-75.0037,17/10/2021 05:15:28
7373.709133718468,438,-47.172,-64.4282,17/10/2021 05:17:30
7429.904278758512,436,-43.5328,-55.0501,17/10/2021 05:19:31
7364.219651885842,434,-39.1621,-46.9332,17/10/2021 05:21:33
7418.946901447085,432,-34.2103,-39.8572,17/10/2021 05:23:35
7414.239960793283,430,-28.7974,-33.6076,17/10/2021 05:25:37
7346.152494540866,427,-23.1511,-28.1081,17/10/2021 05:27:38
7403.234560838454,425,-17.269,-23.0827,17/10/2021 05:29:40
7526.662818358256,423,-11.1911,-18.3646,17/10/2021 05:31:42
7338.808817963426,422,-5.101,-13.9176,17/10/2021 05:33:44
7401.234490367507,421,1.054,-9.5445,17/10/2021 05:35:45
7341.976467009023,420,7.1782,-5.1687,17/10/2021 05:37:47
7408.069320600856,420,13.2761,-0.6388,17/10/2021 05:39:48
7352.88573497125,420,19.2475,4.1308,17/10/2021 05:41:50
7419.794815672338,420,25.0811,9.3186,17/10/2021 05:43:51
7427.936301972594,421,30.6769,15.0676,17/10/2021 05:45:53
7374.473097642622,422,35.9166,21.5365,17/10/2021 05:47:55
7381.360939807304,422,40.7163,28.9844,17/10/2021 05:49:56
7450.889666833288,423,44.8891,37.5834,17/10/2021 05:51:58
7393.4888364669705,423,48.2204,47.4097,17/10/2021 05:54:00
7397.0584404046285,423,50.5314,58.575,17/10/2021 05:56:02
7460.769075389879,423,51.5723,70.4965,17/10/2021 05:58:03
7399.520264705223,423,51.2671,82.5701,17/10/2021 06:00:05
7460.79333571689,422,49.6481,94.1746,17/10/2021 06:02:07
7393.458254085734,421,46.8598,104.7407,17/10/2021 06:04:08
7451.535209964082,421,43.1183,114.0419,17/10/2021 06:06:10
7383.594148595054,420,38.6601,122.0789,17/10/2021 06:08:12
7437.779807163792,419,33.5914,129.1367,17/10/2021 06:10:14
7430.87727393333,418,28.1601,135.2732,17/10/2021 06:12:15
7362.987675539207,418,22.4645,140.7275,17/10/2021 06:14:17
7417.279424908702,418,16.5443,145.72,17/10/2021 06:16:18
7350.990026619053,418,10.5148,150.3602,17/10/2021 06:18:20
7409.433878948918,419,4.3817,154.818,17/10/2021 06:20:21
7346.246507377308,420,-1.7566,159.175,17/10/2021 06:22:23
7406.977651114428,422,-7.9048,163.5805,17/10/2021 06:24:24
7355.535103669909,424,-13.97,168.1159,17/10/2021 06:26:26
7410.981607673052,426,-19.945,172.9391,17/10/2021 06:28:27
7354.37625401391,429,-25.7218,178.1512,17/10/2021 06:30:29
7420.101504328408,431,-31.2732,-176.0411,17/10/2021 06:32:30
7364.617661427907,434,-36.4548,-169.4999,17/10/2021 06:34:32
7553.731079370234,436,-41.2174,-161.9011,17/10/2021 06:36:35
